question,notes,id,score
Define what is  scaling,"   A commonly used practice infeature engineeringto tame a feature's range of values to match the range of other features in
the data set. For example, suppose that you want all floating-point features
in the data set to have a range of 0 to 1. Given a particular feature's
range of 0 to 500, you could scale that feature by dividing each value
by 500.  See alsonormalization.  ",135,-1
Define what is  scikit-learn,   A popular open-source ML platform. Seewww.scikit-learn.org.  ,136,-1
Define what is  sequence model,"   A model whose inputs have a sequential dependence. For example, predicting
the next video watched from a sequence of previously watched videos.  ",137,-1
Define what is  session,"   Maintains state (for example, variables) within a TensorFlow program.  ",138,-1
Define what is  sigmoid function,"   A function that maps logistic or multinomial regression output (log odds) to
probabilities, returning a value between 0 and 1.  The sigmoid function has
the following formula:  y=11+e−σy = \frac{1}{1 + e^{-\sigma}}  whereσ\sigmainlogistic regressionproblems
is simply:  σ=b+w1x1+w2x2+…wnxn\sigma = b + w_1x_1 + w_2x_2 + … w_nx_n  In other words, the sigmoid function convertsσ\sigmainto a probability
between 0 and 1.  In someneural networks, the sigmoid function acts as
theactivation function.  ",139,-1
Define what is  softmax,"   A function that provides probabilities for each possible class in amulti-class classification model. The probabilities add up
to exactly 1.0. For example, softmax might determine that the probability of a
particular image being a dog at 0.9, a cat at 0.08, and a horse at 0.02.
(Also calledfull softmax.)  Contrast withcandidate sampling.  ",140,-1
Define what is  sparse feature,"   Featurevector whose values are predominately zero or empty.
For example, a vector containing a single 1 value and a million 0 values is
sparse. As another example, words in a search query could also be a
sparse feature—there are many possible words in a given language, but only a
few of them occur in a given query.  Contrast withdense feature.  ",141,-1
Define what is  squared loss,"   Thelossfunction used inlinear regression.  (Also known asL2Loss.) This function calculates the squares of
the difference between a model's predicted value for a labeledexampleand the actual value of thelabel.
Due to squaring, this loss function amplifies the influence of bad predictions.
That is, squared loss reacts more strongly to outliers
thanL1loss.  ",142,-1
Define what is  static model,   A model that is trained offline.  ,143,-1
Define what is  stationarity,"   A property of data in a data set, in which the data distribution stays constant
across one or more dimensions. Most commonly, that dimension is time, meaning
that data exhibiting stationarity doesn't change over time. For example, data
that exhibits stationarity doesn't change from September to December.  ",144,-1
Define what is  step,   A forward and backward evaluation of onebatch.  ,145,-1
Define what is  step size,   Synonym forlearning rate.  ,146,-1
Define what is  stochastic gradient descent (SGD),"   Agradient descentalgorithm in which the batch size
is one. In other words, SGD relies on a single example chosen uniformly at
random from a data set to calculate an estimate of the gradient at each step.  ",147,-1
Define what is  structural risk minimization (SRM),"   An algorithm that balances two goals:  The desire to build the most predictive model (for example, lowest loss).The desire to keep the model as simple as possible (for example, strong
    regularization).  For example, a model function that minimizes loss+regularization on the
training set is a structural risk minimization algorithm.  For more information, seehttp://www.svms.org/srm/.  Contrast withempirical risk minimization.  ",148,-1
Define what is  summary,"   In TensorFlow, a value or set of values calculated at a particularstep, usually used for tracking model metrics during training.  ",149,-1
Define what is  supervised machine learning,"   Training amodelfrom input data and its correspondinglabels. Supervised machine learning is analogous to a student
learning a subject by studying a set of questions and their corresponding
answers.  After mastering the mapping between questions and answers, the
student can then provide answers to new (never-before-seen) questions on
the same topic.  Compare withunsupervised machine learning.  ",150,-1
Define what is  synthetic feature,"   Afeaturethat is not present among the input features, but is
derived from one or more of them. Kinds of synthetic features include the
following:  Multiplying one feature by itself or by other feature(s). (These are
    termedfeature crosses.)Dividing one feature by a second feature.Bucketinga continuous feature into range bins.  Features created bynormalizingorscalingalone are not considered synthetic features. ",151,-1
Define what is  target,   Synonym forlabel.  ,152,-1
Define what is  Tensor,"   The primary data structure in TensorFlow programs. Tensors are N-dimensional
(where N could be very large) data structures, most commonly scalars, vectors,
or matrices. The elements of a Tensor can hold integer, floating-point,
or string values.  ",153,-1
Define what is  Tensor Processing Unit (TPU),"   An ASIC (application-specific integrated circuit) that optimizes the performance
of TensorFlow programs.  ",154,-1
Define what is  Tensor rank,   Seerank.  ,155,-1
Define what is  Tensor shape,"   The number of elements aTensorcontains in various dimensions.
For example, a [5, 10] Tensor has a shape of 5 in one dimension and 10
in another.  ",156,-1
Define what is  Tensor size,"   The total number of scalars aTensorcontains. For example, a
[5, 10] Tensor has a size of 50.  ",157,-1
Define what is  TensorBoard,"   The dashboard that displays the summaries saved during the execution of one or
more TensorFlow programs.  ",158,-1
Define what is  TensorFlow,"   A large-scale, distributed, machine learning platform. The term also refers to
the base API layer in the TensorFlow stack, which supports general computation
on dataflow graphs.  Although TensorFlow is primarily used for machine learning, you may also use
TensorFlow for non-ML tasks that require numerical computation using
dataflow graphs.  ",159,-1
Define what is  TensorFlow Playground,"   A program that visualizes how differenthyperparametersinfluence model
(primarily neural network) training.
Go tohttp://playground.tensorflow.orgto experiment with TensorFlow Playground.  ",160,-1
Define what is  TensorFlow Serving,   A platform to deploy trained models in production.  ,161,-1
Define what is  test set,   The subset of the data set that you use to test yourmodelafter the model has gone through initial vetting by the validation set. Contrast withtraining setandvalidation set.  ,162,-1
Define what is  tf.Example,   A standardprotocol bufferfor describing input data for machine learning model training or inference.  ,163,-1
Define what is  training,"   The process of determining the idealparameterscomprising
a model.  ",164,-1
Define what is  training set,   The subset of the data set used to train a model.  Contrast withvalidation setandtest set.  ,165,-1
Define what is  true negative (TN),"   An example in which the modelcorrectlypredicted thenegative class. For example, the model inferred that
a particular email message was not spam, and that email message really was
not spam.  ",166,-1
Define what is  true positive (TP),"   An example in which the modelcorrectlypredicted thepositive class. For example, the model inferred that
a particular email message was spam, and that email message really was spam.  ",167,-1
Define what is  true positive rate (TP rate),"   Synonym forrecall. That is:  TruePositiveRate=TruePositivesTruePositives+FalseNegativesTrue\,Positive\,Rate = \frac{True\,Positives} {True\,Positives + False\,Negatives}  True positive rate is the y-axis in anROC curve. ",168,-1
Define what is  unlabeled example,"   An example that containsfeaturesbut nolabel.
Unlabeled examples are the input toinference. In
semi-supervised and unsupervised learning, unlabeled examples are used
during training.  ",169,-1
Define what is  unsupervised machine learning,"   Training amodelto find patterns in a data set, typically an
unlabeled data set.  The most common use of unsupervised machine learning is to cluster data
into groups of similar examples. For example, an unsupervised machine
learning algorithm can cluster songs together based on various properties
of the music. The resulting clusters can become an input to other machine
learning algorithms (for example, to a music recommendation service).
Clustering can be helpful in domains where true labels are hard to obtain.
For example, in domains such as anti-abuse and fraud, clusters can help
humans better understand the data.  Another example of unsupervised machine learning isprincipal component analysis
(PCA).
For example, applying PCA on a
data set containing the contents of millions of shopping carts might reveal
that shopping carts containing lemons frequently also contain antacids.  Compare withsupervised machine learning. ",170,-1
Define what is  validation set,"   A subset of the data set—disjunct from the training set—that you
use to adjusthyperparameters.  Contrast withtraining setandtest set. ",171,-1
Define what is  weight,"   A coefficient for afeaturein a linear model, or an edge
in a deep network. The goal of training a linear model is to determine
the ideal weight for each feature. If a weight is 0, then its corresponding
feature does not contribute to the model.  ",172,-1
